#Programa,Categoría funcional,Categoría económica,Fecha,NIF,Nombre empresa,Descripción,Importe
Administración General ,920,22709,2019-01-01,A08663619,"CAIXABANK, S.A.",CAIXA 479 INTERESES-COMISIONES-GASTOS,12.0
Administración General ,920,22709,2019-01-25,A08000143,"BANCO SABADELL, S A",COMISION EMISION CERTIF.,2.42
Administración General ,920,22709,2019-01-25,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Administración General ,920,22709,2019-01-29,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Administración General ,920,22709,2019-02-01,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Deuda Pública,011,35200,2019-02-04,0.0,"NUMERO 14 MADRID,JUZGADO CONTEN ADMIN",Procedimiento abreviado 225/2017. Nuria Viqueira Urtaza. Liquidacion de intereses de principal de acuerdo con auto Juzgado delo Contencioso Adminsitrativo número 14 de Madrid. Procedimiento abreviado 225/2017.,732.87
Promoción cultural,334,22609,2019-02-04,G21575808,ASOCIACION CABALGATA DE REYES MAGOS EL REPILADO,Fra. VENTA CARROZAS DE REYES MAGOS DE CABALGATA ANTERIOR(GASPAR Y BALTASAR),2150.0
Administración General ,920,22001,2019-02-04,B78272168,CENTRO DE ESTUDIOS FINANCIEROS  S.L.,Fra. Suscripción/Actualización desde 01/01/2019 hasta 01/01/2020/REVISTA DE TRABAJO Y SEGURIDAD SOCIAL,146.31
Administración General ,920,22709,2019-02-04,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Administración General ,920,22709,2019-02-05,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,3.63
Seguridad y Orden Público,132,21400,2019-02-06,B86747219,CARROCERIAS LAS MATAS SL,Fra. 1843HDY   SEAT ALTEA  COMPROBAR CARGA DE ALTERNADOR SUSTITUIR  BATERIA Y COLOCAR CUBRECARTER DE MOTOR,202.86
Seguridad y Orden Público,132,21400,2019-02-06,B86747219,CARROCERIAS LAS MATAS SL,Fra.  2589HDZ HONDA CRV  CAMBIAR ESCOBILLAS,57.38
Seguridad y Orden Público,132,21400,2019-02-06,B86747219,CARROCERIAS LAS MATAS SL,Fra.  2589HDZ   HONDA CRV  SUSTITUIR ALTERNADOR Y CARGA DE BATERIA,592.39
Seguridad y Orden Público,132,21400,2019-02-06,B86747219,CARROCERIAS LAS MATAS SL,Fra.  2586HDZ. HONDA CRV POLICIA MUNICIPAL,643.91
Seguridad y Orden Público,132,21400,2019-02-06,B86747219,CARROCERIAS LAS MATAS SL,Fra.  2589HDZ  HONDA CRV BESCAM,13.94
Urbanismo:plamen.gest.ejec.y discip.urban.,151,22706,2019-02-06,005275614N,"CASTILLO*MONTOYA DEL,ENRIQUE","Fra. Prestación de servicios de ingeniería industrial para el Ayuntamiento, según contrato administrativo expediente 387/2017 de fecha 5 de mayo de 2017, Mes de enero de 2019,",2640.0
Administración General de Deportes,340,21300,2019-02-06,B83658518,AVD3 SL,Fra. MANO DE OBRA TAPIZADO,497.75
Administración General de Deportes,340,21300,2019-02-06,B83658518,AVD3 SL,Fra. CUOTA DE MANTENIMIENTO DE ENERO 2019,111.08
Órganos de gobierno,912,22699,2019-02-06,G80231103,FEDERACION DE MUNICIPIOS DE MADRID,Fra. CUOTA 2019,761.82
Administración General ,920,21400,2019-02-06,B86747219,CARROCERIAS LAS MATAS SL,Fra.  1722GHV  JEEP WRANGLER 2.8 CRD  COMPROBAR CARGA Y CAMBIAR BATERIA,196.87
Administración General ,920,22000,2019-02-06,B87258349,HOWARD WEST GROUP SL,Fra plegado y ensobrado,169.52
Administración General ,920,22709,2019-02-06,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,7.26
Administración General ,920,22709,2019-02-06,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Participación ciudadana,924,22606,2019-02-06,X6825569C,"ILIYANOV*PARARLYUZOV,STEFAN",Fra Desayuno saludable 12/01/2019,109.0
Administración General de servicios sociales,230,22110,2019-02-07,B80377971,D.S. LINEA VERDE S.L.,Fra. SERVICIOS SOCIALES,38.88
Administración general de educación,320,22103,2019-02-07,A80298839,REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA,Fra. F108380100 GASoLEO C : CEIP EL RASO MARCELINO REYERO 28411 MORALZARZAL Madrid,1777.26
Administración general de educación,320,22103,2019-02-07,A80298839,REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA,Fra. F108379300 GASoLEO C   CEIP EL RASO C/ CANO 28411 MORALZARZAL Madrid,668.73
Administración general de educación,320,22110,2019-02-07,B80377971,D.S. LINEA VERDE S.L.,"Fra. C,P, SAN MIGUEL ARCANGEL",417.91
Bibliotecas y Archivos,332,22001,2019-02-07,007534363T,"JIMENEZ*DIAZ,ALFREDO JAVIER",Fra libros varios,1726.31
Bibliotecas y Archivos,332,22609,2019-02-07,003081153G,"ESTRELLA*ORTIZ,ARROYO","Fra. Dos sesiones de narración oral ""Cuentos a mano"" para público familiar con bebés de 6 a 23 meses en la biblioteca municipal Casa Grande el día 12 de enero a las 11h y 12h",323.53
Bibliotecas y Archivos,332,22609,2019-02-07,B19305085,PEP BRUNO S.L.,Fra. Cuentacuentos para público infantil,250.0
Bibliotecas y Archivos,332,22609,2019-02-07,X9529816L,"FLECHA*TORRES,MARCO ANTONIO","Fra. Función de cuentacuentos para infantil a partir de 4 años, en la biblioteca pública Casa Grande, a las 12 horas del día 26 de enero Factura con IVA reducido en base al Ap",200.0
Bibliotecas y Archivos,332,22609,2019-02-07,052349471E,"ALAINEZ*HERRERA,SOFIA","Fra. Cuentacuentos Actividad de Animación a la Lectura realizada a las 11:30 del día 15/01/2018 IVA reducido según la ley 37/1992, Artículo 91, capítulo 2, apartado 7, Artícul",275.0
Promoción cultural,334,22609,2019-02-07,F98852601,KELONIA,"Fra. Talleres de plastilina creativa,Navidad 2018",400.0
Promoción cultural,334,22609,2019-02-07,A28571750,SUPERMERCADOS HIBER SA,Fra. iluminaria,279.37
Promoción cultural,334,22609,2019-02-07,G84374859,PRIMIGENIUS,"Fra. REALIZACION DEL ESPECTACULO EL VIAJE DE ANTON RETACO DENTRO DE LA PROGRAMACION DE NAVIDADES EL DIA 3 DE ENERO DE 2019, ACTIVIDAD EXENTA DE IVA EN BASE AL ARTICULO 20,1,14",1000.0
Promoción cultural,334,22609,2019-02-07,B45420106,ARTICULOS FIESTA Y REGALOS MURILLO S.L.,Fra. 1 180311 FI3170             TURBANTE REY BALTASAR,166.51
Promoción cultural,334,22609,2019-02-07,B86392461,INNOVAFEMA SL,Fra. Taller de mágia y globoflexia,1331.0
Promoción cultural,334,22609,2019-02-07,002632521X,"CUEVA*NAVARRO,VICENTE",Fra Concierto Fantasia,3363.8
Promoción cultural,334,22706,2019-02-07,B86485752,"FANTASIA EXTRAESCOLARES, S.L.",Fra. TALLER ENCAJE DE BOLILLOS DICIEMBRE 2018,523.71
Promoción cultural,334,62300,2019-02-07,070045048C,"JABALERA*UBEDA,SONIA",Fra Material vario,8639.4
Fiestas populares y festejos,338,22608,2019-02-07,B82147943,RUSTIC SHOW S.L.,Fra. Actuación Orquesta 5ªnota y Apache los días 20 y 21 septiembre de 20181,17424.0
Gestión del Padrón Municipal de Habitantes,923,22609,2019-02-07,G84072826,CLUB DEPORTIVO ELEMENTAL HARVYE,Fra. FUTBOL 7,592.0
Gestión del Padrón Municipal de Habitantes,923,62200,2019-02-07,B86788338,AZ2013 ARQUITECTURA E INGENIERIA SL,"Fra. Redacción de proyecto ""Reparación pista de atletismo"" (expte 4692-2018)",1607.51
Piscina Cubierta Municipal ,343,22103,2019-02-07,A80298839,REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA,Fra. F108393500 GASoLEO C    PISCINA CALLE CANADA 50 28411 MORALZARZAL Madrid,9110.49
Gestión del Padrón Municipal de Habitantes,923,22606,2019-02-07,020251561S,"TADEO*RUIZ,DAVID",Fra. EVENTO PARA EL MERCADO DE NAVIDAD 2018/2019,3276.0
"Adm.General Comercio,turismo y PIMES",430,22606,2019-02-07,020251561S,"TADEO*RUIZ,DAVID",Fra. EVENTO PARA EL MERCADO DE NAVIDAD 2018/2019,6525.0
Órganos de gobierno,912,22706,2019-02-07,B87340915,ONCE 34 PRODUCTOS Y SERVICIOS S.L,Fra. VINILOS,652.24
Administración General ,920,00REM,2019-02-07,B85363471,STRATO NETWOKS SL,Fra. Mantenimiento infraestructura inalÃ¡mbricas Diciembre 2018,356.95
Administración General ,920,22001,2019-02-07,A79216651,EDICIONES FRANCIS LEFEBVRE,"Fra. Pack Mementos Administrativo Suscripción del 01,09,18 al 01,09,19",1792.98
Administración General ,920,22110,2019-02-07,B80377971,D.S. LINEA VERDE S.L.,Fra. CASA CONSISTORIAL,165.46
Administración General ,920,22199,2019-02-07,B82795683,LIBROS LA PEÑA SL,Fra. Programa Fiestas Moralzarzal 1915,62.4
Administración General ,920,22709,2019-02-07,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,3.63
Administración General ,920,22709,2019-02-07,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Gestión del Padrón Municipal de Habitantes,923,22710,2019-02-07,B36980753,CALIXTO ESCARIZ SLU,Fra. HONORARIOS Servicios jurídicos profesionales y defensa jurídica del Ayuntamiento correspondiente al mes de diciembre de 2018,998.25
Administración General ,920,22721,2019-02-07,B82561267,DAVARA & DAVARA ASESORES JURIDICOS S L,Fra. DPO_AM,937.75
Administración General ,920,22709,2019-02-08,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,4.84
Administración General ,920,22709,2019-02-08,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Administración General ,920,22709,2019-02-11,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,6.05
Administración General ,920,22709,2019-02-11,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,2.42
Administración General ,920,22709,2019-02-11,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Promoción cultural,334,22609,2019-02-12,B84904671,QUALITY SERVICE ARRANZ S.L.,Fra. TAQUILLERO,1063.83
Piscina Cubierta Municipal ,343,21300,2019-02-12,B83821967,CENTRO INTEGRAL DE MASAJE HIDRO-SIERRA SL,Fra. PARTES DICIEMBRE 18,882.14
Piscina Cubierta Municipal ,343,22700,2019-02-12,B83821967,CENTRO INTEGRAL DE MASAJE HIDRO-SIERRA SL,Fra. Mantenimiento integral Piscinas  Enero 2019,4638.33
Piscina Cubierta Municipal ,343,22708,2019-02-12,B83821967,CENTRO INTEGRAL DE MASAJE HIDRO-SIERRA SL,"Fra. MANTEN,MECANICO  ENERO/2019",2325.22
Administración General ,920,22709,2019-02-12,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,3.63
Administración General ,920,22709,2019-02-12,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,2.42
Gestión del Padrón Municipal de Habitantes,923,21300,2019-02-13,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,50.43
Administración Gral Seguridad y Protección Civil,130,22110,2019-02-13,B80377971,D.S. LINEA VERDE S.L.,Fra. PROTECCION CIUDADANA,14.83
Administración Gral Seguridad y Protección Civil,130,22700,2019-02-13,B83372466,SERRALIM SL,Fra. 19L0002 FACTURA RECTIFICATIVA DE LA FACTURA 18L-0068 DE FECHA 31-12-2018,617.1
Gestión del Padrón Municipal de Habitantes,923,21300,2019-02-13,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,4.71
Gestión del Padrón Municipal de Habitantes,923,21400,2019-02-13,B86747219,CARROCERIAS LAS MATAS SL,Fra.  M7344VZ    TOYOTA CALLES,927.49
Vías públicas,153,21400,2019-02-13,B86747219,CARROCERIAS LAS MATAS SL,Fra.  8321GFG  urbanismo  camion calles  renault mascott,204.84
Gestión del Padrón Municipal de Habitantes,923,22719,2019-02-13,A28168698,A NIT LUX SA,"Fra. MANTENIM, PREVENTIVO SERVICIOS DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL ALUMBRADO PÚBLICO E INSTALACIONES ELÉCTRICAS (EXP, 5042/2017), MANTENIMIENTO PREVENTIVO DICIEM",568.28
Gestión del Padrón Municipal de Habitantes,923,21000,2019-02-13,B79840971,"CONSTRUCCIONES METALICAS LORENZO, S.L.",Fra. TRABAJOS EN LA FINCA DE LA DEHESA,16488.36
Administración General de servicios sociales,230,21300,2019-02-13,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,29.42
Asistencia a personas dependientes,234,21300,2019-02-13,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,35.91
Asistencia a personas dependientes,234,21300,2019-02-13,B86524923,AMBIENTE NATURAL SL,"Fra. Tratamientos contra la Legionelosis Mantenimiento de los dosificadores de cloro, análisis de Legionella del DCI  y análisis de Potabilidad  de grifo en la cocina del Hosp",72.59
Gestión del Padrón Municipal de Habitantes,923,22601,2019-02-13,X6825569C,"ILIYANOV*PARARLYUZOV,STEFAN",Fra Dia Mundial del Alzehimer Varios comida,203.01
Asistencia a personas dependientes,234,22719,2019-02-13,002913767N,"HUELAMO*MERCADER,JORGE",Fra Gimnasia Mayores Enero,735.62
Gestión del Padrón Municipal de Habitantes,923,21300,2019-02-13,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,112.02
Gestión del Padrón Municipal de Habitantes,923,21300,2019-02-13,B86524923,AMBIENTE NATURAL SL,"Fra. Tratamientos contra la Legionelosis Mantenimiento de los dosificadores de cloro, análisis de Legionella del DCI  y análisis de Potabilidad  de grifo en la cocina del Hosp",538.45
Gestión del Padrón Municipal de Habitantes,923,62200,2019-02-13,050088753C,"BARBERA*MATEOS,FRANCISCO JAVIER",Fra Reacondicionamiento instalacion fontaneria CEIP El Raso,2831.4
Bibliotecas y Archivos,332,21300,2019-02-13,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,22.64
Bibliotecas y Archivos,332,22700,2019-02-13,B83372466,SERRALIM SL,Fra. 19L0003 FACTURA RECTIFICATIVA DE LA FACTURA 18L-0069 DE FECHA 31-12-2018,617.1
Promoción cultural,334,21300,2019-02-13,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,106.38
Promoción cultural,334,21300,2019-02-13,B86524923,AMBIENTE NATURAL SL,"Fra. Tratamientos contra la Legionelosis Mantenimiento de los dosificadores de cloro, análisis de Legionella del DCI  y análisis de Potabilidad  de grifo en la cocina del Hosp",72.6
Promoción cultural,334,22110,2019-02-13,B80377971,D.S. LINEA VERDE S.L.,Fra. CASA CULTURA,190.28
Promoción cultural,334,22609,2019-02-13,020251561S,"TADEO*RUIZ,DAVID",Fra. ROSCON NORMAL Y CHOCOLATE,3998.5
Promoción cultural,334,22609,2019-02-13,B43728096,ACUSMATIC INGENIERIA ACUSTICA Y TELEC S.L.L.,"Fra. Servicios prestados por Jorge Fides como técnico de luz y sonido el día 23 de diciembre del 2018,",187.55
Promoción cultural,334,22609,2019-02-13,B43728096,ACUSMATIC INGENIERIA ACUSTICA Y TELEC S.L.L.,"Fra. Servicios prestados por Jorge Fides como técnico de luz y sonido el día 2 de enero del 2019,",193.6
Promoción cultural,334,22609,2019-02-13,B87528725,BILLARES Y FUTBOLINES AG 2016 SL,Fra. JUEGOS VARIOS ALQUILER DEL 14/12 AL 7/1,6667.1
Promoción cultural,334,22609,2019-02-13,B43728096,ACUSMATIC INGENIERIA ACUSTICA Y TELEC S.L.L.,"Fra. Servicios prestados por Jorge Fides como técnico de luz y sonido el día 21 de diciembre del 2018,",187.55
Promoción cultural,334,22609,2019-02-13,B43728096,ACUSMATIC INGENIERIA ACUSTICA Y TELEC S.L.L.,"Fra. Servicios prestados por Jorge Fides como técnico de sonido el día 20 de diciembre,",187.55
Promoción cultural,334,22609,2019-02-13,B85321065,TCIDE GRUPO EMPRESARIAL SL,Fra. ALQUILER INSTALACION Y GESTION PISTA DE HIELO,10721.94
Promoción cultural,334,22609,2019-02-13,B85321065,TCIDE GRUPO EMPRESARIAL SL,Fra. ALQUILER INSTALACION Y GESTION PISTA DE HIELO,6823.06
Promoción cultural,334,22609,2019-02-13,011823880V,"ROLDAN*GABRIEL,MARIA HENAR",Fra actividades de formacion Navidades sin plasticos,297.0
Promoción cultural,334,22609,2019-02-13,B83607044,RADALKI ALQUILER S L,Fra. ALQUILERV GRUPOS ELECTROGENOS,136.49
Promoción cultural,334,22609,2019-02-13,070060145Y,"MORENO*GONZALEZ,LORENA",Fra churros luminaria,220.0
Promoción cultural,334,22706,2019-02-13,G85970846,ASOCIACION ENTRE COMILLAS,"Fra. Clases de teatro durante el mes de enero, Con un total de  44 Alumnos a 20¬ por alumno",880.0
Promoción cultural,334,22706,2019-02-13,B86822707,ESCUELA DUENDE SL,Fra. CLASES DE DANZA Clases de Baile  387 alumnos x 21¬ Clases de examen 28 alumnos x 14¬,8519.0
Promoción cultural,334,22706,2019-02-13,051077669M,"MARTIN VELEZ,BARBARA AMPARO",Fra Actividad dibujo y pintura enero,1064.0
Promoción cultural,334,22706,2019-02-13,005279067S,"MORAS*ALVAREZ,CONCEPCION",Fra Taller restauración Enero 2019,1600.83
Promoción cultural,334,22706,2019-02-13,B85647352,DARFE LEARNING CONSULTING SL EN CONSTITUCION,"Fra. 1 Taller de formación de meditación, mindfullness Factura correspondiente a la cuarta mensualidad, de las nueve ofertadas en el proyecto para el curso 2018-2019",399.3
Promoción cultural,334,22706,2019-02-13,000799597W,"ANDRADE*CRUZ,MARIA ASCENSION",Fra taller corte y confeccion y patschwork enero,689.0
Promoción cultural,334,22708,2019-02-13,B78565470,SOTO MESA S.L.,Fra. GESTIÓN SERVICIO DOCENTE ESCUELA MUNICIPAL DE MÚSICA Enero 2019,6000.0
Instalaciones de ocupación del tiempo libre,337,21300,2019-02-13,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,26.0
Instalaciones de ocupación del tiempo libre,337,21300,2019-02-13,B86524923,AMBIENTE NATURAL SL,"Fra. Tratamientos contra la Legionelosis Mantenimiento de los dosificadores de cloro, análisis de Legionella del DCI  y análisis de Potabilidad  de grifo en la cocina del Hosp",151.25
Juventud,339,22609,2019-02-13,052573113N,"FERNANDEZ*BERROCAL,PABLO",Fra Conferencia inteligencia emocional,1713.0
Administración General de Deportes,340,21300,2019-02-13,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,52.15
Administración General de Deportes,340,21300,2019-02-13,B86524923,AMBIENTE NATURAL SL,"Fra. Tratamientos contra la Legionelosis Mantenimiento de los dosificadores de cloro, análisis de Legionella del DCI  y análisis de Potabilidad  de grifo en la cocina del Hosp",263.17
Administración General de Deportes,340,22103,2019-02-13,A80298839,REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA,Fra. F108393000 GASoLEO C   DIRECCION DE SUMINISTRO: POLIDEPORTIVOPOLIDEPORTIVO C/ CANADA 50 28411 MORALZARZAL Madrid,3034.12
Administración General de Deportes,340,22103,2019-02-13,A80298839,REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA,Fra. F108393000 GASoLEO C   DIRECCION DE SUMINISTRO: POLIDEPORTIVOPOLIDEPORTIVO C/ CANADA 50 28411 MORALZARZAL Madrid,2322.18
Administración General de Deportes,340,22104,2019-02-13,B85794105,REPROMORAL SL,Fra. estampacion de logos en ropa,198.05
Gestión del Padrón Municipal de Habitantes,923,22609,2019-02-13,G83286609,ADESGAM ASOCIACION DESARROLLO SIERRA DEL GUADARRAMA-ALTO,"Fra. PRÉSTAMO CARPAS MRZ,20108,11,A  CROSS ESCOLAR DS",200.0
Administración General de Deportes,340,22706,2019-02-13,B81493645,CENTRO DEPORTIVO VILLALBA SL,"Fra. ENERO g, ritmica competicion 7 GRUPOS DE COMPETICION",2849.55
Administración General de Deportes,340,22706,2019-02-13,B81493645,CENTRO DEPORTIVO VILLALBA SL,Fra. ENERO udo,1101.1
Administración General de Deportes,340,22706,2019-02-13,B81493645,CENTRO DEPORTIVO VILLALBA SL,Fra. ENERO  karate,755.04
Gestión del Padrón Municipal de Habitantes,923,62300,2019-02-13,B54397583,REHABILITA E INNOVA SL,Fra Certificacion enero expte 5056/2018,150000.0
Piscina Cubierta Municipal ,343,21300,2019-02-13,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,59.65
Piscina Cubierta Municipal ,343,21300,2019-02-13,B86524923,AMBIENTE NATURAL SL,"Fra. Tratamientos contra la Legionelosis Mantenimiento de los dosificadores de cloro, análisis de Legionella del DCI  y análisis de Potabilidad  de grifo en la cocina del Hosp",263.17
Piscina Cubierta Municipal ,343,22103,2019-02-13,A80298839,REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA,Fra. F108393500 GASoLEO C   DIRECCION DE SUMINISTRO: PISCINA CALLE CANADA 50 28411 MORALZARZAL Madrid,9915.51
Piscina Cubierta Municipal ,343,22103,2019-02-13,A80298839,REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA,Fra. F108393500 GASoLEO C   DIRECCION DE SUMINISTRO: PISCINA CALLE CANADA 50 28411 MORALZARZAL Madrid,9924.96
Piscina Cubierta Municipal ,343,22103,2019-02-13,A80298839,REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA,Fra. F108393500 GASoLEO C   DIRECCION DE SUMINISTRO: PISCINA CALLE CANADA 50 28411 MORALZARZAL Madrid,10317.03
"Adm.General Comercio,turismo y PIMES",430,22610,2019-02-13,033533015G,"TORRUBIAS*SIERRA,MARIA",Fra. Primer Premio Sorte Navidad,1625.0
